muestra;organismos;porcentage;Alterado;ASV;otu
S48;Arcellinida;0.003724217;0;1;1
S48;Diatomea;0.912719633;0;;
S48;other;0.083556149;0;;
S49;Arcellinida;0.026438569;0;3;3
S49;Diatomea;0.968047505;0;;
S49;other;0.005513926;0;;
S5;Arcellinida;0.022448303;0;1;1
S5;Diatomea;0.931438682;0;;
S5;other;0.046113015;0;;
S50;Arcellinida;0.028333044;0;2;2
S50;Diatomea;0.573613767;0;;
S50;other;0.39805319;0;;
S52;Arcellinida;0.102190514;0;3;2
S52;Diatomea;0.889871383;0;;
S52;other;0.007938103;0;;
S53;Arcellinida;0.02697801;0;3;3
S53;Diatomea;0.961459986;0;;
S53;other;0.011562004;0;;
S54;Arcellinida;0.000672301;0;1;1
S54;Diatomea;0.990107568;0;;
S54;other;0.009220131;0;;
S56;Arcellinida;0.004864122;0;1;1
S56;Diatomea;0.735222586;0;;
S56;other;0.259913292;0;;
S57;Arcellinida;0.007346781;0;2;2
S57;Diatomea;0.944061352;0;;
S57;other;0.048591867;0;;
S58;Arcellinida;0.045447739;0;3;3
S58;Diatomea;0.893156634;0;;
S58;other;0.061395628;0;;
S59;Arcellinida;0.03442608;0;3;3
S59;Diatomea;0.945667062;0;;
S59;other;0.019906857;0;;
S63;Arcellinida;0.294932015;0;1;1
S63;Diatomea;0.377997528;0;;
S63;other;0.327070457;0;;
S64;Arcellinida;0.025042686;0;2;1
S64;Diatomea;0.972301271;0;;
S64;other;0.002656042;0;;
S65;Arcellinida;0.091781004;0;1;1
S65;Diatomea;0.872119355;0;;
S65;other;0.036099641;0;;
S66;Arcellinida;0.014655301;0;3;3
S66;Diatomea;0.954837745;0;;
S66;other;0.030506954;0;;
S67;Arcellinida;0.004371286;0;1;1
S67;Diatomea;0.9898231;0;;
S67;other;0.005805614;0;;
S68;Arcellinida;0.013238289;0;2;2
S68;Diatomea;0.977087576;0;;
S68;other;0.009674134;0;;
S69;Arcellinida;0.007950439;0;1;1
S69;Diatomea;0.985234899;0;;
S69;other;0.006814662;0;;
S70;Arcellinida;0.046744234;0;2;2
S70;Diatomea;0.951316595;0;;
S70;other;0.001939171;0;;
S71;Arcellinida;0.003943935;0;1;1
S71;Diatomea;0.993204296;0;;
S71;other;0.002851769;0;;
S72;Arcellinida;0;0;0;0
S72;Diatomea;0.90804968;0;;
S72;other;0.091950321;0;;
S73;Arcellinida;0.082482284;0;1;1
S73;Diatomea;0.820081284;0;;
S73;other;0.097436432;0;;
S9;Arcellinida;0.014727655;0;3;3
S9;Diatomea;0.94927141;0;;
S9;other;0.036000935;0;;
blade;Arcellinida;0.940902474526929;;2;2
blade;Diatomea;0.00553129548762737;;;
blade;other;0.053566229985444;;;
brenet;Arcellinida;0.105566368236668;;3;3
brenet;Diatomea;0.291475282210977;;;
brenet;other;0.602958349552355;;;
Fe1;Arcellinida;0.718993805853705;;34;4
Fe1;Diatomea;0;;;
Fe1;other;0.281006194146295;;;
Fe3;Arcellinida;0.680497947152332;;12;6
Fe3;Diatomea;0.210627434466786;;;
Fe3;other;0.108874618380882;;;
Fe4;Arcellinida;0.173574130618285;;9;3
Fe4;Diatomea;0.721120478537709;;;
Fe4;other;0.105305390844006;;;
Fe6;Arcellinida;0.36701834412029;;11;6
Fe6;Diatomea;0.315475066647535;;;
Fe6;other;0.317506589232175;;;
glad;Arcellinida;0.0232054060946067;;0;0
glad;Diatomea;0.0381231671554252;;;
glad;other;0.938671426749968;;;
guad;Arcellinida;0.445138555181804;;5;5
guad;Diatomea;0.152490789684447;;;
guad;other;0.40237065513375;;;
M1_1;Arcellinida;0.0341493268053856;;1;1
M1_1;Diatomea;0.849326805385557;;;
M1_1;other;0.116523867809058;;;
M1_2;Arcellinida;0.00626191124421454;;1;1
M1_2;Diatomea;0.836918050639804;;;
M1_2;other;0.156820038115981;;;
M10_1;Arcellinida;0.017412469574986;;2;2
M10_1;Diatomea;0.814828683767085;;;
M10_1;other;0.167758846657929;;;
M10_2;Arcellinida;0.0283514175708785;;4;3
M10_2;Diatomea;0.716660833041652;;;
M10_2;other;0.254987749387469;;;
M11_1;Arcellinida;0.302367424242424;;3;2
M11_1;Diatomea;0.68125;;;
M11_1;other;0.0163825757575758;;;
M11_2;Arcellinida;0.0816984304932735;;3;3
M11_2;Diatomea;0.915078475336323;;;
M11_2;other;0.00322309417040359;;;
M12_1;Arcellinida;0.906245429281849;;1;1
M12_1;Diatomea;0.0912681000438789;;;
M12_1;other;0.00248647067427234;;;
M12_2;Arcellinida;0.0315712187958884;;0;0
M12_2;Diatomea;0.779735682819383;;;
M12_2;other;0.188693098384728;;;
M13_1;Arcellinida;0.0141192733017378;;3;3
M13_1;Diatomea;0.985880726698262;;;
M13_1;other;0;;;
M13_2;Arcellinida;0.00274725274725275;;2;2
M13_2;Diatomea;0.997252747252747;;;
M13_2;other;0;;;
M14_1;Arcellinida;0;;0;0
M14_1;Diatomea;0.840652148042366;;;
M14_1;other;0.159347851957634;;;
M14_2;Arcellinida;0.0776071139854487;;1;1
M14_2;Diatomea;0.901980598221504;;;
M14_2;other;0.0204122877930477;;;
M15_1;Arcellinida;0.0112781954887218;;1;1
M15_1;Diatomea;0.785009398496241;;;
M15_1;other;0.203712406015038;;;
M15_2;Arcellinida;0.00325907590759076;;0;0
M15_2;Diatomea;0.995915841584158;;;
M15_2;other;0.000825082508250825;;;
